NEGARA,2016,2017,2018,2019,2020,2021,2022,2023,2016,2017,2018,2019,2020,2021,2022,2023,COUNTRY,
AFRICA," 19,082 "," 20,904 "," 19,029 "," 19,128 "," 19,664 "," 30,405 "," 40,464 "," 31,957 "," 6,889 "," 11,536 "," 12,403 "," 13,808 "," 11,674 "," 15,799 "," 19,431 "," 22,241 ",AFRICA,
ALGERIA, 513 , 509 , 499 , 568 , 368 , 483 , 536 , 432 , 4 , 9 , 358 , 298 , 726 , 880 ," 1,212 ", 108 ,ALGERIA,
ANGOLA, 621 , 956 , 698 , 787 , 593 , 760 ," 1,146 ", 561 , 4 , 7 , 62 , 659 , 297 ,, 435 , 116 ,ANGOLA,
BENIN," 1,186 "," 1,232 ", 707 , 371 , 412 , 390 , 685 , 723 , * , 34 , 2 , 16 , 5 , * , 10 , 1 ,BENIN,
BOTSWANA, 13 , 8 , 8 , 8 , 6 , 11 , 18 , 10 , * , * , * , * , * , * , 1 , 1 ,BOTSWANA,
BURKINA FASO, 10 , 32 , 26 , 14 , 23 , 33 , 15 , 8 , 33 , 22 , 21 , 1 , 35 , 19 , 23 , * ,BURKINA FASO,
BURUNDI, * , 6 , 3 , 1 , * , 1 , * , * , -   , -   , 1 , 1 , * , * , * , 7 ,BURUNDI,
CAMEROON, 173 , 256 , 174 , 183 , 225 , 185 , 725 , 399 , 298 , 346 , 332 , 455 , 490 , 401 , 347 ," 1,233 ",CAMEROON,
CAPE VERDE, 5 , 8 , 3 , 5 , 18 , 4 , 9 , 11 , -   , -   , * , * , -   , * , * , * ,CAPE VERDE,
CENTRAL AFRICAN REPUBLIC, 15 , 12 , 11 , 3 , 3 , 4 , 2 , 5 , 1 , * , 3 , 7 , 2 , 3 , 5 , 11 ,CENTRAL AFRICAN REPUBLIC,
CHAD, 1 , 2 , 8 , 12 , 3 , 1 , 1 , 4 , -   , * , * , * , * , * , * , 398 ,CHAD,
COMOROS, 19 , 19 , 19 , 19 , 15 , 19 , 38 , 29 , 1 , -   , * , -   , * , -   , * , -   ,COMOROS,
CONGO, 175 , 198 , 155 , 146 , 178 , 174 , 286 , 265 , 145 , 341 , 511 , 934 , 276 , 544 ," 1,315 ", 877 ,CONGO,
"CONGO, THE DEMOCRATIC REPUBLIC 
OF THE", 75 , 73 , 98 , 129 , 76 , 108 , 151 , 113 , 225 , 243 , 249 , 152 , 215 , 222 , 399 , 697 ,"CONGO, THE DEMOCRATIC REPUBLIC 
OF THE",
COTE D'IVOIRE, 281 , 355 , 431 , 274 , 481 , 501 , 612 , 527 ," 1,156 "," 2,539 "," 1,921 "," 2,700 "," 3,316 "," 3,661 "," 3,623 "," 4,019 ",COTE D'IVOIRE,
DJIBOUTI, 377 , 620 , 826 , 327 , 463 , 752 ," 1,647 "," 1,592 ", 1 , 1 , 3 , * , 14 , 7 , 1 , 11 ,DJIBOUTI,
EGYPT," 2,077 "," 2,066 "," 1,652 "," 1,839 "," 1,662 "," 2,872 "," 3,571 "," 2,311 ", 505 , 571 , 543 , 392 , 418 , 922 ," 1,119 "," 1,041 ",EGYPT,
EQUATORIAL GUINEA, 45 , 92 , 50 , 50 , 49 , 41 , 60 , 53 , * , 45 , * , 76 , 1 , -   , -   , 1 ,EQUATORIAL GUINEA,
ERITREA, 26 , 36 , 19 , 15 , 8 , 9 , 26 , 17 , -   , -   , * , -   , 69 , * , -   , -   ,ERITREA,
ESWATINI, 7 , 9 , 11 , 50 , 32 , 23 , 8 , 10 , 1 , 1 , 4 , 10 , 4 , * , * , 2 ,ESWATINI,
ETHIOPIA, 469 , 665 , 552 , 236 , 133 , 185 , 291 , 371 , 5 , 10 , 7 , 26 , 36 , 41 , 67 , 76 ,ETHIOPIA,
GABON, 139 , 159 , 114 , 152 , 112 , 98 , 104 , 123 , 367 ," 1,342 ", 239 , 771 , 202 , 897 ," 1,534 "," 1,832 ",GABON,
GAMBIA, 113 , 194 , 128 , 142 , 128 , 138 , 114 , 172 , -   , * , -   , 2 , 6 , -   , * , * ,GAMBIA,
GHANA, 804 ," 1,106 ", 906 , 696 ," 1,258 "," 2,363 "," 1,544 "," 1,048 ", 682 , 908 ," 1,015 ", 733 , 884 ," 1,929 "," 1,482 "," 1,032 ",GHANA,
GUINEA, 209 , 223 , 163 , 152 , 96 , 147 , 215 , 119 , 14 , 51 , 45 , 14 , 94 , 68 , 58 , 156 ,GUINEA,
GUINEA-BISSAU, 19 , 22 , 4 , 6 , 3 , 8 , 14 , 10 , -   , * , * , * , * , * , * , 3 ,GUINEA-BISSAU,
KENYA, 715 ," 1,042 ", 948 ," 1,505 "," 2,255 "," 4,667 "," 5,076 "," 5,401 ", 52 , 32 , 24 , 179 , 360 , 120 , 103 , 104 ,KENYA,
LESOTHO, 4 , 5 , 3 , 1 , 1 , 1 , 1 , 1 , * , * , * , * , * , * , * , * ,LESOTHO,
LIBERIA, 149 , 171 , 125 , 104 , 67 , 65 , 100 , 162 , 60 , 53 , 59 , 75 , 76 , 195 , 277 , 122 ,LIBERIA,
LIBYA, 115 , 89 , 81 , 72 , 61 , 79 , 55 , 98 , 14 , 341 ," 2,067 "," 1,214 ", 3 , 126 , 162 , 264 ,LIBYA,
MADAGASCAR, 331 , 431 , 373 , 337 , 349 , 574 , 551 , 518 , 36 , 23 , 23 , 32 , 68 , 71 , 75 , 105 ,MADAGASCAR,
MALAWI, 131 , 139 , 34 , 39 , 22 , 29 , 11 , 9 , 23 , 8 , 6 , 6 , 8 , 5 , 38 , 16 ,MALAWI,
